Player,Rating,Rank
J0k3r,1577,Grand Champion
Giant,1457,Champion III
Timely Yor,1372,Champion II
TkMoreira,1297,Champion II
Kaz,1270,Champion I
Terrestrial_X,1264,Champion I
ImSpiker,1209,Champion I
Atto,1162,Diamond III
BigRig,1133,Diamond III
BKXO,1112,Diamond III
Calvin,1076,Diamond II
Ajmo1025,1073,Diamond II
Christopher,1054,Diamond II
einBirnenbaum,1035,Diamond II
Jucarman,1032,Diamond II
Yoyo,1024,Diamond II
CDH,972,Diamond I
Gold Nobody,913,Platinum III
sigibua,847,Platinum II
[CELTICS],827,Platinum II
FB-Productions,794,Platinum II
Hi_Am_Disturbia,760,Platinum I
Luso,742,Platinum I
T-boy,593,Gold II
Rocci,552,Gold II
Jimboom,445,Silver III
DemonMK,301,Bronze III